insertId,jsonPayload.class,jsonPayload.message,jsonPayload.filename,jsonPayload.method,jsonPayload.container,jsonPayload.container_logname,jsonPayload.application,jsonPayload.thread,resource.type,resource.labels.project_id,resource.labels.region,resource.labels.cluster_name,resource.labels.cluster_uuid,timestamp,severity,"labels.""compute.googleapis.com/zone""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/resource_id""",logName,receiveTimestamp
ru8wbry1d6ggs66x8,org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorImpl,Skipping monitoring container container_1575962372145_0003_01_000013 since CPU usage is not yet available.,yarn-yarn-nodemanager-w261-final-project-w-0.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:47.518Z,INFO,us-west1-b,w261-final-project-w-0,8219103720546433076,projects/w261-finateam10/logs/yarn-yarn-nodemanager,2019-12-10T09:08:53.227154135Z
c0284mbhqrf9msiol,org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorImpl,Skipping monitoring container container_1575962372145_0003_01_000016 since CPU usage is not yet available.,yarn-yarn-nodemanager-w261-final-project-w-3.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:47.269Z,INFO,us-west1-b,w261-final-project-w-3,8358316418202269747,projects/w261-finateam10/logs/yarn-yarn-nodemanager,2019-12-10T09:08:52.899022428Z
ry302x4xm3j0rckpc,org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorImpl,Skipping monitoring container container_1575962372145_0003_01_000012 since CPU usage is not yet available.,yarn-yarn-nodemanager-w261-final-project-w-2.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:46.585Z,INFO,us-west1-b,w261-final-project-w-2,8981799529024256051,projects/w261-finateam10/logs/yarn-yarn-nodemanager,2019-12-10T09:08:51.748920152Z
ewnyez2297rd2bpdx,org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorImpl,Skipping monitoring container container_1575962372145_0003_01_000011 since CPU usage is not yet available.,yarn-yarn-nodemanager-w261-final-project-w-4.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:46.567Z,INFO,us-west1-b,w261-final-project-w-4,4919962349181532211,projects/w261-finateam10/logs/yarn-yarn-nodemanager,2019-12-10T09:08:52.009332591Z
vh4ips7hafhp2ks9c,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:44.221Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:08:49.241255227Z
vh4ips7hafhp2ks9b,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:39.219Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:08:44.238224507Z
vh4ips7hafhp2ks9a,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:34.217Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:08:39.239316309Z
vh4ips7hafhp2ks8z,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Queue Info Request	TARGET=ClientRMService	RESULT=SUCCESS	QUEUENAME=root	INCLUDEAPPS=false	INCLUDECHILDQUEUES=true	RECURSIVE=true",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:31.332Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:08:34.234995378Z
vh4ips7hafhp2ks8y,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:29.215Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:08:34.234995378Z
vh4ips7hafhp2ks8x,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:24.213Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:08:29.236097793Z
vh4ips7hafhp2ks8w,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:19.210Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:08:24.221239583Z
